Depth,True Vertical Depth,Borehole Northing,Borehole Easting,Total Deviation,Total Deviation
418,414.946,26.1194,28.3304,38.5335,9.2183
419,415.929,26.255,28.445,38.7097,9.2387
420,416.913,26.3908,28.5574,38.8844,9.2586
421,417.897,26.5316,28.6801,39.0702,9.2798
422,418.88,26.6641,28.8038,39.2509,9.301
423,419.864,26.7928,28.9254,39.4275,9.321
424,420.846,26.9255,29.0499,39.6091,9.3421
425,421.829,27.0703,29.179,39.8022,9.3647
426,422.81,27.2117,29.3048,39.9906,9.3873
427,423.793,27.3456,29.4254,40.1701,9.4076
428,424.777,27.4749,29.5457,40.3462,9.4271
429,425.761,27.6102,29.6715,40.5304,9.4472
430,426.744,27.7493,29.7933,40.7144,9.4683
431,427.725,27.8911,29.9197,40.9036,9.4905
432,428.706,28.033,30.0472,41.0936,9.5128
433,429.688,28.1806,30.1791,41.2908,9.5355
434,430.67,28.314,30.3059,41.4744,9.5561
435,431.653,28.4463,30.4345,41.6588,9.5768
436,432.633,28.5888,30.5634,41.8502,9.5991
437,433.613,28.7432,30.7021,42.057,9.6235
438,434.593,28.8882,30.8347,42.2529,9.6466
439,435.575,29.0266,30.9634,42.4414,9.6678
440,436.557,29.1645,31.0873,42.6261,9.6881
441,437.54,29.3066,31.2162,42.8173,9.7087
442,438.523,29.4391,31.3399,42.9983,9.7279
443,439.506,29.572,31.4614,43.1778,9.7468
444,440.489,29.7067,31.584,43.3594,9.766
445,441.471,29.8484,31.7141,43.5513,9.7863
446,442.454,29.9794,31.8399,43.7327,9.8053
447,443.437,30.1125,31.9657,43.9155,9.8246
448,444.419,30.2536,32.0886,44.1017,9.8445
449,445.4,30.4072,32.2192,44.3021,9.8664
450,446.38,30.5554,32.3455,44.4956,9.8877
451,447.361,30.7013,32.4715,44.6875,9.9086
452,448.342,30.8445,32.598,44.8778,9.9291
453,449.324,30.9913,32.7289,45.0738,9.9496
454,450.307,31.124,32.8527,45.2548,9.9678
455,451.289,31.2574,32.9767,45.4366,9.9862
456,452.272,31.3905,33.105,45.6213,10.0051
457,453.254,31.5303,33.2408,45.8161,10.0249
458,454.237,31.6565,33.3709,45.9973,10.0429
459,455.22,31.7807,33.5023,46.1781,10.0607
460,456.203,31.9091,33.6316,46.3603,10.0787
461,457.185,32.0433,33.7696,46.5527,10.0977
462,458.169,32.1698,33.8983,46.7332,10.1152
463,459.152,32.293,34.025,46.9099,10.1318
464,460.137,32.4123,34.1483,47.0814,10.1472
465,461.122,32.5386,34.2772,47.2619,10.1634
466,462.107,32.657,34.4002,47.4326,10.1785
467,463.091,32.7773,34.5269,47.6073,10.1944
468,464.075,32.9,34.6552,47.7848,10.2108
469,465.057,33.0364,34.7924,47.9783,10.2295
470,466.039,33.1739,34.9204,48.1658,10.2479
471,467.022,33.3082,35.0425,48.3468,10.2648
472,468.005,33.4421,35.1659,48.5285,10.2818
473,468.987,33.5874,35.2951,48.7222,10.3002
474,469.969,33.7289,35.4185,48.9092,10.3182
475,470.95,33.868,35.5446,49.0964,10.3362
476,471.933,34,35.6736,49.2808,10.3535
477,472.916,34.134,35.8079,49.4706,10.3707
478,473.899,34.2593,35.9355,49.6494,10.3867
479,474.882,34.3903,36.0609,49.8305,10.4031
480,475.865,34.5238,36.1897,50.0159,10.4204
481,476.846,34.6646,36.3287,50.2137,10.439
482,477.828,34.8056,36.4563,50.4033,10.4569
483,478.809,34.947,36.583,50.5926,10.4748
484,479.79,35.0861,36.7124,50.7823,10.4926
485,480.772,35.2252,36.8509,50.9785,10.5106
486,481.755,35.3489,36.9822,51.1588,10.5264
487,482.739,35.4732,37.1103,51.3373,10.5417
488,483.722,35.6005,37.2375,51.5173,10.5572
489,484.704,35.7396,37.3716,51.7103,10.5743
490,485.687,35.868,37.5001,51.8919,10.59
491,486.671,35.9925,37.6287,52.0709,10.6052
492,487.653,36.1228,37.757,52.2537,10.6211
493,488.636,36.264,37.8897,52.4472,10.6379
494,489.618,36.3991,38.0154,52.6314,10.654
495,490.601,36.5318,38.1417,52.8144,10.6697
496,491.584,36.6579,38.2705,52.9946,10.6848
497,492.568,36.7856,38.4059,53.1807,10.6999
498,493.552,36.9087,38.5331,53.3578,10.7143
499,494.535,37.0371,38.6599,53.5382,10.7292
500,495.517,37.1722,38.7881,53.7242,10.7452
501,496.499,37.3134,38.9252,53.9208,10.7622
502,497.481,37.4459,39.0531,54.1049,10.7777
503,498.463,37.579,39.1819,54.29,10.7934
504,499.444,37.7178,39.3131,54.4807,10.8101
505,500.426,37.8641,39.4505,54.6812,10.8275
506,501.407,38.004,39.5799,54.8714,10.844
507,502.388,38.1434,39.7068,55.0595,10.86
508,503.37,38.2842,39.8332,55.2482,10.876
509,504.351,38.4362,39.9661,55.4494,10.8934
510,505.331,38.5822,40.0923,55.6415,10.91
511,506.312,38.7267,40.2205,55.8341,10.9266
512,507.292,38.8708,40.3506,56.0277,10.9433
513,508.273,39.0194,40.4913,56.2322,10.961
514,509.253,39.1648,40.6244,56.4289,10.9782
515,510.233,39.3114,40.7555,56.6251,10.9953
516,511.212,39.4583,40.8868,56.8215,11.0123
517,512.193,39.6097,41.0275,57.028,11.0301
518,513.172,39.7515,41.1642,57.2248,11.0471
519,514.152,39.8938,41.2989,57.4205,11.0638
520,515.133,40.0322,41.4314,57.6119,11.0796
